Fecha / hora,Cliente,Nº  venta,Importe,Forma de pago,Revisada,Crédito,Estatus venta,V. no facturable
01/09/2023 02:15 PM,PUBLICO EN GENERAL,355375,150.00,Efectivo,0,0,Venta generada,
01/09/2023 02:19 PM,PUBLICO EN GENERAL,355372,150.00,Tarjeta de Debito,0,0,Vta. enviada a web,
01/09/2023 02:19 PM,PUBLICO EN GENERAL,355373,150.00,Efectivo,0,0,Vta. enviada a web,
01/09/2023 02:23 PM,PUBLICO EN GENERAL,355374,300.00,Efectivo,0,0,Vta. enviada a web,
01/09/2023 02:24 PM,PUBLICO EN GENERAL,355379,100.00,Efectivo,0,0,Venta generada,
01/09/2023 02:26 PM,PUBLICO EN GENERAL,355376,100.00,Efectivo,0,0,Vta. enviada a web,
01/09/2023 02:27 PM,PUBLICO EN GENERAL,355377,200.00,Tarjeta de Debito,0,0,Vta. enviada a web,
01/09/2023 02:32 PM,PUBLICO EN GENERAL,355381,200.00,Efectivo,0,0,Venta generada,
01/09/2023 02:40 PM,PUBLICO EN GENERAL,355380,221.00,Tarjeta de Debito,0,0,Vta. enviada a web,
01/09/2023 02:42 PM,PUBLICO EN GENERAL,355385,100.00,Efectivo,0,0,Venta generada,
01/09/2023 02:44 PM,PUBLICO EN GENERAL,355383,500.00,Efectivo,0,0,Venta generada,
01/09/2023 02:45 PM,PUBLICO EN GENERAL,355382,663.00,Tarjeta de Debito,0,0,Vta. enviada a web,
01/09/2023 02:55 PM,PUBLICO EN GENERAL,355384,66.30,Efectivo,0,0,Venta generada,
01/09/2023 02:58 PM,PUBLICO EN GENERAL,355389,300.00,Efectivo,0,0,Venta generada,
01/09/2023 03:00 PM,PUBLICO EN GENERAL,355387,483.80,Efectivo,0,0,Venta generada,
01/09/2023 03:03 PM,PUBLICO EN GENERAL,355386,100.00,Tarjeta de Debito,0,0,Vta. enviada a web,
01/09/2023 03:06 PM,PUBLICO EN GENERAL,355388,200.00,Efectivo,0,0,Venta generada,
01/09/2023 03:08 PM,PUBLICO EN GENERAL,355390,200.00,Efectivo,0,0,Venta generada,
